fire_name,county,cost,burnt_acres,startDate,finishDate,latitude,longitude,injuries,destroyedStructures,threatenedStructures,airtankers,dozers,fireEngines,firePersonnel,fireCrews,helicopters,waterTenders,meanTemp,maxTemp,minTemp,dewPoint,avgHumidity,maxHumidity,minHumidity,fire,maxWind
Eagle Fire Incident Information: ,San Diego,15.5,14100,7/21/11 22:40,8/1/11 07:00,33.2769753,-116.6494394,18,1,,,1,,8,,,6,68,73,64,59,71,78,60,1,16
Middle Fire Incident Information: ,Calaveras,,100,7/22/11 16:48,7/24/11 04:50,38.1145286,-121.5741027,,,,,,,,,,,64,73,55,55,75,93,57,1,29
Romero Fire Incident Information: ,Merced,,489,7/23/11 08:43,7/23/11 14:00,37.49567207,-121.0509336,,,,,,,,,,,82,99,64,55,48,73,22,1,19
Revis Fire Incident Information: ,Madera,,30,7/24/11 13:00,7/24/11 18:00,37.23669759,-120.6835388,,,,,,,,,,,79,95,61,55,55,84,26,1,16
Murray Fire Incident Information: ,Calaveras,,83,7/25/11 13:44,7/28/11 09:00,36.0823789,-117.9981643,1,,,,3,31,558,18,1,0,90,100,81,,,,,1,32
Southridge Fire Incident Information: ,Sutter,,112,7/27/11 15:40,7/27/11 18:20,39.1214733,-121.6111047,,,,,,,,,,,75,91,63,48,35,59,22,1,14
Tyler 3 Incident Information: ,Tulare,,25,7/30/11 17:37,8/1/11 07:30,35.8860541,-118.730104,,,,,,2,47,2,,,88,100,73,57,36,47,24,1,23
MMU Lightning Complex Incident Information: ,Madera,,129,7/31/11 12:40,8/3/11 08:00,37.5012528,-119.9863602,,,,,,,40,2,,,81,97,64,61,55,78,32,1,21
Lion Fire Incident Information: ,Tulare,,,7/31/11 14:43,8/12/11 17:00,36.19445904,-118.7122809,,,,,,,,,,,82,97,70,64,60,83,37,1,14
Pass Fire Incident Information: ,Mendocino,2.8,617,8/3/11 12:03,8/9/11 17:30,39.20832194,-123.6443004,1,,0,,,6,257,6,,4,73,93,52,50,55,83,26,1,21
Sites Fire Incident Information: ,Colusa,,55,8/3/11 21:42,8/4/11 11:30,39.3120516,-122.3381242,,,,,,,,,,,,,,,,,,1,0
Barn Fire Incident Information: ,San Benito,,36,8/6/11 14:30,8/6/11 18:00,36.2049929,-121.2875463,,,,2,1,7,,,1,,,59,52,,,,,1,0
Rosa Fire Incident Information: ,San Benito,,73,8/6/11 15:00,8/6/11 18:00,36.893784,-121.3499813,,,,,,,,,,,64,73,55,55,85,100,57,1,34
Gilman Fire Incident Information: ,Riverside,,945,8/6/11 16:01,8/7/11 18:00,33.87006954,-116.8655275,,,,,,,,,,,,91,61,,,,,1,0
Yeager Fire Incident Information: ,Yuba,,140,8/11/11 15:55,8/12/11 20:00,39.31146737,-121.1716783,,,,,,,,,,,79,90,68,48,37,44,22,1,21
Ardo Fire Incident Information: ,Monterey,,94,8/12/11 15:54,8/12/11 21:00,35.9482841,-120.8771282,,,,2,1,5,70,1,1,,,59,52,,,,,1,0
Knoxville Fire Incident Information: ,Napa,,508,8/13/11 14:45,8/15/11 11:00,38.5516204,-122.2314164,,,0,0,,14,190,6,3,,64,75,54,54,77,100,53,1,26
Reliz Fire Incident Information: ,Monterey,,214,8/16/11 15:30,8/18/11 21:00,36.2423747,-121.2394702,1,,,,4,22,376,15,,5,,59,52,,,,,1,0
Annie Fire Incident Information: ,Modoc,,,8/18/11 11:00,8/19/11 08:56,41.8605328,-120.15207,,,,,,,,,,,64,88,43,34,40,70,9,1,23
Garza Fire Incident Information: ,Riverside,,189,8/22/11 14:32,8/23/11 07:30,33.93057938,-117.1859917,,,,,,,,,,,70,90,54,55,62,94,29,1,24
Ken Fire Incident Information: ,San Bernardino,,,8/22/11 13:03,8/23/11 08:40,33.92919386,-121.1650312,,,,,,,,,,,,,,,,,,1,0
Patterson Fire Incident Information: ,Alameda,,147,8/23/11 12:13,8/23/11 18:10,37.5303401,-121.7027787,,,,4,2,12,,2,2,,77,97,57,52,56,93,19,1,19
Motor Fire Incident Information: ,Mariposa,,5231,8/25/11 12:00,9/6/11 10:00,37.4452109,-119.9132039,,,,,,,,,,,79,97,61,54,50,78,22,1,16
Barrett Fire Incident Information: ,San Diego,,95,8/27/11 13:04,8/28/11 10:00,38.12082491,-122.7624388,1,,,1,1,10,115,6,2,4,64,75,52,54,77,100,54,1,32
Oasis Fire Incident Information: ,Los Angeles,1,355,8/27/11 13:44,8/30/11 18:30,34.78115014,-118.6154436,3,,,,,5,11,,,,91,108,75,52,28,40,16,1,13
Argyle Fire Incident Information: ,Monterey,,200,8/27/11 13:51,8/29/11 09:00,34.77232454,-121.4989163,,,,,3,6,130,5,,4,,,,,,,,1,0
Beacon Fire Incident Information: ,Solano,,715,8/27/11 17:50,8/29/11 06:00,38.2874213,-121.9757531,,,,,2,20,250,8,,4,64,75,52,54,77,100,54,1,32
Florida Fire Incident Information: ,San Bernardino,,67,8/28/11 11:41,8/30/11 07:00,34.0858248,-117.1122301,2,,0,,,14,117,4,,3,81,97,64,61,51,81,31,1,27
Yosemite Fire Incident Information: ,San Luis Obispo,,85,8/28/11 16:27,8/28/11 18:30,35.662438,-120.3753305,,,,,,,,,,,77,102,50,46,51,93,9,1,23
Ridge Fire Incident Information: ,San Diego,,150,8/28/11 14:29,8/31/11 08:00,32.6458338,-116.487197,,,,,,,,,,,86,102,70,59,47,73,21,1,81
Pala Fire Incident Information: ,San Diego,1.81,223,8/29/11 10:30,8/31/11 19:00,33.373659,-117.0791325,1,,,,3,9,136,4,,5,,90,61,,,,,1,0
Wildcat Fire Incident Information: ,San Diego,,60,8/29/11 15:07,8/29/11 20:00,33.0022032,-116.805801,,,,,,,,,,,72,79,66,63,81,94,62,1,14
Watts Fire Incident Information: ,Fresno,,75,8/29/11 13:00,8/29/11 21:30,36.8969472,-119.4384111,,,,,,,,,,,84,102,68,52,35,57,13,1,23
Keller Fire Incident Information: ,Riverside,,458,8/29/11 13:01,8/29/11 19:00,33.6147826,-117.1673385,,,,,,,,,,,81,95,64,59,57,81,33,1,26
Hawkinsville Fire  Incident Information: ,Siskiyou,,120,9/1/11 16:05,9/4/11 18:00,39.46927686,-123.0638167,,,,,1,13,207,8,,2,75,97,52,48,47,77,16,1,16
Hill Fire Incident Information: ,San Bernardino,,1158,9/2/11 13:00,9/4/11 17:30,34.4114326,-117.3921437,,,,,,,,,,,70,86,54,55,67,100,32,1,21
Soda Fire Incident Information: ,San Luis Obispo,,1300,9/3/11 14:57,9/4/11 21:00,35.227468,-119.8901979,,,,,,,,,,,61,70,54,52,76,93,59,1,16
Red Fire Incident Information: ,Tuolumne,,121,9/3/11 17:00,9/4/11 09:00,37.826063,-120.473921,,,,,,,,,,,81,100,61,50,47,78,16,1,19
Figueroa Fire Incident Information: ,Santa Barbara,,698,9/3/11 13:00,9/6/11 10:00,34.9530337,-120.4357191,,,,,,,,,,,66,88,46,48,71,100,19,1,21
Roadrunner Fire Incident Information: ,Tulare,,335,9/4/11 13:42,9/5/11 12:00,35.5810814,-118.4329117,,,,,,,,,,,82,100,64,45,27,37,16,1,23
Canyon Fire Incident Information: ,Kern,10.3,14585,9/4/11 11:30,9/10/11 20:30,35.0716304,-118.417488,7,100,,,,5,23,,,1,79,100,55,30,18,34,7,1,32
Wagon Wheel Fire Incident Information: ,Los Angeles,,345,9/5/11 12:54,9/7/11 12:00,33.89201615,-117.7178176,,,,,,,,,,,79,93,64,59,59,84,34,1,19
Banning Fire Incident Information: ,Riverside,,55,9/7/11 13:59,9/7/11 17:30,33.9317071,-116.9461583,,,,,,,,,,,82,102,64,59,49,87,25,1,23
Freccero Fire Incident Information: ,Calaveras,,57,9/7/11 16:23,9/9/11 15:30,38.1820202,-120.569239,,,,,,,,,,,79,99,59,39,31,51,10,1,14
Branch 2 Fire Incident Information: ,Mariposa,,40,9/9/11 16:39,9/11/11 07:00,37.520864,-119.982315,,,,,,10,,4,1,2,79,95,61,52,48,72,23,1,13
Milton Fire Incident Information: ,Stanislaus,,1112,9/9/11 19:00,9/10/11 09:00,37.9447524,-120.8437537,,,,,,,,,,,81,97,63,52,45,65,24,1,27
Keene Complex Fires Incident Information: ,Kern,7.2,10470,9/10/11 02:30,9/14/11 08:00,35.62137871,-115.7137589,4,,,,6,95,1416,48,1,1,,,,,,,,1,0
Comanche Fire Complex Incident Information: ,Kern,,29338,9/10/11 04:00,9/16/11 06:00,35.2017986,-118.833105,6,,,,9,32,603,18,,3,88,99,75,55,35,48,21,1,32
Breckenridge Complex Incident Information: ,Kern,7.4,25213,9/10/11 10:55,9/18/11 08:00,34.59571746,-117.1893295,2,,,,,15,451,16,2,4,79,90,70,57,51,78,33,1,29
Hurricane Complex (Previously Santa Lucia Lighting Complex) Incident Information: ,Santa Barbara,,262,9/10/11 11:00,9/12/11 19:45,34.9684358,-120.4203834,,,,,,,,,,,66,81,52,54,73,100,42,1,26
South Lightning (Tennessee Fire) Incident Information: ,Tulare,,407,9/11/11 12:00,9/14/11 10:00,34.28917705,-118.5992737,,,,,,1,,,,,,86,59,,,,,1,0
John Fire Incident Information: ,Inyo,,5353,9/13/11 13:54,9/16/11 07:00,37.30587236,-118.5174617,2,,0,,,,,,,,68,84,52,43,47,77,17,1,39
TCU September Lightning Incident Information: ,Calaveras,,1135,9/9/11 07:33,9/15/11 15:00,32.8152582,-116.9730613,,,,,,,,,,,66,72,63,57,76,88,64,1,16
Southern Region Lightning Incident Information: ,Los Angeles,,10000,9/9/11 22:00,9/15/11 12:00,34.0446749,-118.4539715,,,,,,,,,,,,88,61,,,,,1,0
Mint Fire Incident Information: ,Los Angeles,,634,9/17/11 08:00,12/31/69 16:00,34.512825,-118.3406374,,,,,,,,,,,,86,59,,,,,1,0
West Fire Incident Information: ,Fresno,,40,9/23/11 14:30,9/23/11 22:00,36.246262,-120.3153196,,,,,,,,,,,81,99,61,55,52,84,20,1,21
Ruth Fire Incident Information: ,Trinity,,1460,9/23/11 12:00,9/29/11 08:00,40.57427765,-123.1875791,,,,,,,,,,,70,95,46,43,48,81,11,1,8
Kern County Lightning Fires Incident Information: ,Kern,,20,9/23/11 17:00,9/24/11 12:40,34.9431265,-115.513177,,,,,,,,,,,,,,,,,,1,0
Tulare County Lightning Fires Incident Information: ,Tulare,,400,9/23/11 21:45,9/29/11 08:00,36.2967312,-119.141313,,,,,,,,,,,81,99,64,54,41,64,19,1,13
Honey Fire Incident Information: ,Butte,,70,9/24/11 14:00,9/24/11 17:00,39.7109383,-121.7669705,,,,,,,,,,,79,91,64,50,45,68,20,1,32
Windy Point Fire Incident Information: ,Riverside,,541,9/24/11 18:53,9/29/11 08:00,33.60429297,-117.2000057,,,,,,,,,,,68,77,61,59,79,96,55,1,27
Buckeye Fire Incident Information: ,Mono,,1040,9/25/11 11:00,9/29/11 08:00,38.36931289,-118.8624041,,,,,,,,,,,50,66,37,34,55,83,28,1,27
San Diego County Lightning Fires Incident Information: ,San Diego,,56,9/30/11 14:33,10/1/11 21:00,33.3524478,-116.7392735,0,,0,5,1,23,363,15,3,1,66,75,61,59,82,94,66,1,14
Great Fire Incident Information: ,San Diego,,2135,10/1/11 12:53,10/6/11 07:00,33.63820224,-118.5141877,1,,,,3,15,379,10,1,5,72,84,61,43,35,70,23,1,23
Mill Fire Incident Information: ,San Bernardino,,42,10/21/11 14:27,10/22/11 19:30,34.28329958,-120.3114521,,,,,,,,,,,64,77,54,52,80,94,44,1,13
Loma Fire Incident Information: ,Napa,,90,11/1/11 21:05,11/2/11 08:30,38.3763353,-122.2821288,,,,,,,,,,,61,75,43,25,51,93,8,1,53
Yager Fire Incident Information: ,Humboldt,,60,11/10/11 11:08,11/11/11 17:30,40.537821,-124.05984,,,,,,,,,,,52,64,39,39,70,93,28,1,14
198 Fire Incident Information: ,Monterey,,75,11/30/11 21:35,12/1/11 11:30,36.1952406,-120.7101721,,,,,,,,,,,52,66,36,36,58,92,24,1,39
El Dorado Complex Incident Information: ,El Dorado,,132,12/1/11 11:00,12/4/11 17:30,38.7275566,-120.8263496,2,,,,,2,76,2,,,54,63,45,16,22,37,13,1,27
Tuolumne-Calaveras Wind Event Incident Information: ,Tuolumne,,781,12/1/11 07:08,12/6/11 14:00,37.97503717,-120.1585832,3,,,,1,22,205,6,1,1,48,59,37,9,19,30,11,1,26
Chalk Fire Incident Information: ,Nevada,,20,12/1/11 14:54,12/2/11 09:00,37.7421328,-122.4113356,,,,,,,,,,,57,70,45,19,24,35,13,1,47
Collier Fire Incident Information: ,Contra Costa,,198,12/1/11 18:05,12/2/11 09:00,37.7755563,-121.8287018,,,,,,,,,,,57,70,45,19,24,35,13,1,47
 Soda Fire Incident Information: ,Napa,,200,2/23/12 12:32,2/25/12 08:30,38.357363,-122.2873083,2,,,,1,5,95,5,,,57,79,37,32,56,100,11,1,42
Border #6 Fire Incident Information: ,San Diego,,150,5/17/12 08:32,5/18/12 18:00,36.24629241,-118.077535,,,,1,,20,180,8,4,4,,,,,,,,1,0
Banner Fire Incident Information: ,San Diego,4,5321,5/24/12 14:09,5/29/12 12:00,33.97408636,-117.1436315,4,,,5,2,21,461,18,7,6,63,70,55,54,71,94,57,1,26
Cedar Fire Incident Information: ,Riverside,,40,5/25/12 17:09,5/26/12 07:45,33.48019061,-116.9247003,,,,,,,,,,,,77,52,,,,,1,0
Lakepointe Fire Incident Information: ,Riverside,,256,5/27/12 15:38,5/28/12 06:30,33.4076842,-116.088764,,,,,,,,,,,73,90,57,36,36,62,9,1,27
Paloma Fire Incident Information: ,Calaveras,,37,5/30/12 18:11,6/1/12 08:00,38.2593394,-120.7441047,,,,,,,,,,,68,90,48,46,49,94,16,1,23
Billy Fire Incident Information: ,Merced,,434,5/31/12 11:37,5/31/12 15:30,36.87084463,-120.9809815,,,,,,,,,,,68,88,46,50,63,100,29,1,31
Blue Fire Incident Information: ,Shasta,,42,6/2/12 15:45,6/2/12 20:15,40.6612477,-122.1966317,,,,,,,,,,,66,81,54,45,46,82,22,1,24
George Fire Incident Information: ,Tulare,,1707,6/1/12 15:42,6/14/12 18:45,36.065451,-119.0519235,,,,,,,,,,,82,100,64,54,40,64,17,1,16
Pine Fire Incident Information: ,Fresno,,91,6/5/12 14:43,6/6/12 18:00,36.8227671,-119.3657227,,,,4,2,13,130,4,2,2,63,73,52,39,48,72,23,1,39
Fine Fire Incident Information: ,Madera,,23,6/7/12 13:40,6/8/12 09:00,37.4211922,-120.8600512,,,0,,1,4,,2,,1,72,90,52,46,43,67,19,1,34
5 Mile Fire Incident Information: ,Los Angeles,,525,6/8/12 14:17,6/9/12 19:30,34.73187211,-117.8101149,,,,,,,,,,,75,90,61,39,29,45,15,1,45
Creek Fire Incident Information: ,Riverside,,76,6/8/12 17:29,6/9/12 20:30,33.72155372,-116.4295962,,,,,,,,,,,,77,52,,,,,1,0
Casino Fire Incident Information: ,Yolo,,260,6/9/12 12:41,6/9/12 19:30,38.73433,-122.142141,,,,,,,,,,,63,86,39,34,49,89,8,1,32
Windy Fire Incident Information: ,Butte,,97,6/10/12 14:39,6/11/12 18:45,35.35845005,-120.3867013,,,0,,2,15,200,10,1,7,66,91,43,34,38,65,10,1,24
Gaines Fire Incident Information: ,Mariposa,,1667,6/12/12 12:45,6/14/12 18:45,38.26162665,-119.7165716,1,,0,4,6,2,199,2,4,6,55,79,34,21,30,61,8,1,26
Little Fire Incident Information: ,San Bernardino,,88,6/14/12 08:36,6/15/12 08:45,34.315134,-117.3552154,,,,,,,,,,,68,79,57,54,70,90,42,1,27
Fiddyment Fire Incident Information: ,Placer,,184,6/14/12 13:23,6/14/12 15:30,38.8388895,-121.3494157,,,,,,,,,,,79,90,66,54,43,64,21,1,16
Foothill Fire Incident Information: ,Mendocino,,7,6/14/12 16:24,6/15/12 18:30,39.7900885,-123.2672023,,,,,,,,,,,,,,,,,,1,0
Pond Fire Incident Information: ,Mendocino,,33,6/14/12 17:20,6/15/12 18:30,39.51181287,-123.3960736,,,,,,,,,,,72,86,55,39,42,67,17,1,35
Palermo Fire Incident Information: ,Butte,,100,6/15/12 14:10,6/15/12 16:15,39.4639695,-121.5788486,,2,55,,,,,,,,81,99,61,52,39,66,16,1,27
Welch Fire Incident Information: ,Alameda,,60,6/15/12 15:15,6/16/12 09:00,37.5357884,-121.8530247,,,,,4,3,,4,3,,73,91,54,45,45,72,18,1,29
Waltz Fire Incident Information: ,Placer,,105,6/15/12 17:30,6/15/12 19:00,36.28422087,-121.0696022,,,,,1,16,,2,,4,63,73,52,46,61,83,38,1,32
Highland Fire Incident Information: ,Riverside,,2171,6/16/12 13:20,6/18/12 18:45,33.82328422,-117.4169597,,,,,,,,,,,64,82,48,55,69,94,44,1,0
Old Fire Incident Information: ,San Diego,,995,6/17/12 14:00,6/20/12 18:00,37.58947092,-117.0042301,2,2,0,4,6,25,354,14,4,5,75,93,57,7,12,23,1,1,35
Wohlford Fire Incident Information: ,San Diego,,2,6/17/12 16:00,6/17/12 18:30,33.2018791,-116.9714382,,,,,,,,,,,64,72,59,57,81,87,68,1,14
View Fire Incident Information: ,Riverside,,376,6/18/12 21:15,6/18/12 18:45,33.95030038,-117.5337431,,,,,,,,,,,70,86,55,57,74,100,37,1,0
Skyline Fire Incident Information: ,Tehama,,85,6/19/12 12:48,6/19/12 16:30,40.2547361,-122.2661881,,,,,,,,,,,81,93,68,28,16,31,4,1,32
Otay Fire Incident Information: ,San Diego,,30,6/20/12 14:07,6/21/12 08:00,32.650795,-116.853502,,,,,,,,,,,63,88,39,36,41,70,11,1,34
Horseshoe Fire Incident Information: ,Calaveras,,95,6/21/12 13:46,6/21/12 17:20,37.9559214,-120.6867161,,,,,,,,,,,75,88,63,46,43,63,23,1,32
Hill Fire Incident Information: ,Ventura,,689,6/23/12 12:22,6/24/12 16:00,34.8242444,-118.9462656,,,,,,,,,,,,81,57,,,,,1,0
Oak Fire Incident Information: ,Siskiyou,,192,6/28/12 14:50,6/30/12 05:45,41.632206,-122.838162,1,,,4,2,9,,6,1,5,61,79,43,39,49,83,23,1,13
Cary Fire Incident Information: ,Riverside,,150,6/29/12 00:42,6/30/12 09:00,33.5699462,-116.7364691,,,,6,4,25,,10,4,4,,88,55,,,,,1,0
Dale Fire Incident Information: ,Shasta,,1038,7/5/12 13:54,7/7/12 18:00,38.44099543,-122.233359,1,7,0,,2,46,840,26,6,6,64,75,54,52,67,89,44,1,32
Thunder Fire Incident Information: ,Glenn,,167,7/7/12 12:13,7/7/12 14:30,39.5392738,-122.3326425,,,,,,,,,,,81,99,63,43,30,52,13,1,19
Butte Fire Incident Information: ,Tehama,,140,7/7/12 14:39,7/7/12 15:55,39.9228822,-122.3530192,,,,,,,,,,,81,99,63,43,30,52,13,1,19
Fish Fire Incident Information: ,Inyo,,1103,7/7/12 13:59,7/9/12 19:30,37.068144,-118.2406519,,,0,,1,2,103,4,,9,75,99,52,28,26,43,8,1,45
Mill Fire Incident Information: ,Colusa,,29502,7/7/12 15:00,7/19/12 08:00,39.6030447,-122.8275434,,,,,,,,,,,75,99,52,43,45,77,12,1,23
Oregon Fire Incident Information: ,Butte,,60,7/8/12 15:25,7/8/12 19:45,36.19046741,-119.8298838,,,,4,1,20,,,2,4,81,100,63,48,44,72,15,1,24
Sites Complex Incident Information: ,Colusa,,5,7/8/12 15:45,7/12/12 19:30,39.3506818,-122.4090494,,,,2,4,37,712,26,6,6,,,,,,,,1,0
Turkey Fire Incident Information: ,Monterey,,2700,7/9/12 11:25,7/11/12 19:15,35.8769232,-120.4169582,,,,,4,28,357,14,,3,75,100,50,48,57,100,13,1,37
Panorama Fire Incident Information: ,San Bernardino,,75,7/9/12 13:54,7/9/12 18:00,34.76908526,-119.0802679,,,,,,,,,,,64,73,54,55,75,100,49,1,16
Seven Fire Incident Information: ,Tuolumne,,840,7/10/12 13:41,7/11/12 08:35,37.811075,-120.4667972,,1,,3,1,12,100,3,1,,82,102,63,48,38,60,15,1,27
La Grange Fire Incident Information: ,Tuolumne,,103,7/10/12 13:00,7/10/12 18:30,37.6991615,-120.4244444,,,,2,2,12,92,2,1,,82,102,63,48,38,60,15,1,27
Twin Fire Incident Information: ,Riverside,,45,7/11/12 06:26,7/11/12 00:10,33.8685799,-116.7911387,,,,,,,,,,,,88,57,,,,,1,0
Robbers Fire Incident Information: ,Placer,,2650,7/11/12 15:24,7/20/12 18:00,39.0406072,-120.8860732,12,5,170,,4,20,844,16,1,16,86,100,72,41,22,36,10,1,19
Flat Fire Incident Information: ,Trinity,,1688,7/11/12 17:03,7/17/12 19:00,40.28917328,-123.13691,,,,,,,,,,,75,99,55,46,41,77,13,1,14
Calf Fire Incident Information: ,San Luis Obispo,,640,7/16/12 11:35,7/18/12 16:15,35.3866147,-120.1655605,1,,,,1,73,774,34,3,3,63,73,54,52,69,93,44,1,32
Cody Fire Incident Information: ,Tehama,,94,7/16/12 22:23,7/17/12 07:20,40.0986829,-122.227311,,,,,,,,,,,72,82,61,50,49,68,23,1,40
Sand Fire Incident Information: ,Kern,,,7/17/12 13:00,7/18/12 15:45,35.10318142,-118.5639509,,,,,,,,,,,72,84,59,52,49,65,33,1,23
Euclid Fire Incident Information: ,Riverside,,60,7/18/12 14:55,7/20/12 18:15,33.8896049,-117.6413123,,,,,,,,,,,72,90,52,52,53,93,21,1,27
Forest Fire Incident Information: ,Yolo,,520,7/21/12 10:13,7/24/12 10:00,35.66853957,-119.6728996,4,,0,,10,1,57,1,1,3,86,99,73,55,39,57,20,1,21
Ranch Fire Incident Information: ,Solano,,75,7/22/12 14:26,7/23/12 07:35,38.19852762,-122.0302837,,,,,,,,,,,68,81,55,55,71,93,48,1,35
Gopher Fire  Incident Information: ,Calaveras,,75,7/23/12 10:49,7/23/12 14:00,36.13785044,-121.0718563,,,,,,,,,,,,59,52,,,,,1,0
Amador Lightning Complex Incident Information: ,Amador,,41,7/22/12 23:30,7/26/12 08:30,38.6810084,-120.0739426,,,,,5,3,64,2,4,9,66,86,48,39,37,54,18,1,24
Graham Fire Incident Information: ,Tuolumne,,81,7/25/12 15:10,8/1/12 18:30,37.90424835,-120.015762,6,,,1,1,3,51,2,7,1,72,91,54,39,34,59,12,1,14
Penn Fire Incident Information: ,Calaveras,,134,7/25/12 15:24,7/29/12 07:30,37.01402867,-118.3669237,1,1,,,2,34,68,4,,1,73,97,48,19,23,41,5,1,35
Paskenta Fire Incident Information: ,Tehama,,300,7/25/12 18:30,7/25/12 21:30,39.8128976,-122.6281116,,,,,,,,,,,75,97,57,45,34,67,5,1,19
North Fire Incident Information: ,Mendocino,,375,7/28/12 13:26,7/31/12 18:00,39.82087017,-123.4043287,1,,0,1,1,25,375,20,4,4,,61,52,,,,,1,0
Peak Fire Incident Information: ,Plumas,,800,7/28/12 16:21,8/1/12 19:45,40.0256966,-121.2175695,,,,,,,,,,,75,91,63,48,44,64,14,1,19
South Fire Incident Information: ,Kern,,271,7/29/12 14:00,8/2/12 13:00,35.597557,-118.4913382,,,,,,,,,,,81,95,66,46,34,48,19,1,23
Chips Fire Incident Information: ,Plumas,,75431,7/29/12 01:57,8/31/12 18:30,40.0059971,-121.2491316,,,,,,,,,,,79,93,64,45,35,56,17,1,19
Volcano Fire Incident Information: ,Riverside,,355,8/1/12 11:25,8/5/12 18:30,33.93595281,-117.0978569,,1,,6,3,33,272,10,6,4,72,86,59,57,59,93,31,1,24
Salt Creek Fire Incident Information: ,Shasta,,980,8/1/12 13:38,8/1/12 20:00,40.6804279,-122.3708419,,,,,,,,,,,,95,63,,,,,1,0
Dunnigan Fire Incident Information: ,Yolo,,204,8/2/12 15:01,8/2/12 18:30,38.882568,-121.972246,,,,,,,,,,,81,99,61,48,34,60,17,1,14
Caliente Fire Incident Information: ,San Luis Obispo,,149,8/4/12 06:30,8/4/12 22:00,35.21055346,-120.1210473,,,,,,,,,,,64,75,55,54,83,94,48,1,24
Las Cumbres Fire Incident Information: ,Santa Cruz,,7,8/4/12 07:17,8/4/12 22:00,36.9013885,-121.7784283,,,,,,20,200,10,2,,63,70,55,55,84,100,60,1,24
Hazel Fire Incident Information: ,El Dorado,,47,8/5/12 13:20,8/9/12 08:15,38.04784673,-119.9991998,,,,,,,,,,,64,81,46,41,62,94,14,1,27
Iverson Fire Incident Information: ,Monterey,,63,8/6/12 14:50,8/6/12 16:45,36.5268367,-121.4175521,,,,,,,,,,,72,93,48,54,65,100,26,1,27
Piute Complex Incident Information: ,Kern,,1783,8/4/12 12:30,8/11/12 21:15,35.29557067,-116.1587605,,,,,,,,,,,90,99,79,43,19,28,13,1,26
Dillon Fire Incident Information: ,Siskiyou,,318,8/3/12 12:07,8/7/12 16:00,41.7921956,-123.377692,,,,,,,,,,,,,,,,,,1,0
Armario Fire Incident Information: ,Tuolumne,,30,8/7/12 18:30,8/9/12 08:15,37.9644698,-120.2694518,,0,,0,2,21,232,7,2,3,79,100,59,39,28,52,10,1,19
San Antonio Fire Incident Information: ,Sonoma,,35,8/8/12 14:24,8/8/12 15:30,38.1753133,-122.605724,,,,,,,,,,,66,88,46,54,64,93,34,1,24
Lake Complex Incident Information: ,Modoc,,1666,8/5/12 15:03,8/11/12 11:00,39.53390519,-117.9857161,,,,,,,,,,,81,93,70,43,29,46,13,1,34
Reading Fire Incident Information: ,Shasta,,28079,7/23/12 17:09,8/22/12 08:00,38.21516362,-118.7844508,,,,,,,,,,,,,,,,,,1,0
Fort Complex Incident Information: ,Siskiyou,,23653,8/5/12 19:00,9/11/12 10:30,41.7921956,-123.377692,,,,,,,,,,,,,,,,,,1,0
Wesley Fire Incident Information: ,Riverside,,14,8/9/12 12:54,8/9/12 15:45,33.604412,-117.2888042,,,,,,,,,,,81,100,63,57,47,75,23,1,26
Chihuahua Fire Incident Information: ,San Diego,,2007,8/9/12 13:13,8/12/12 18:30,33.3844485,-116.6900141,2,,,6,2,7,611,11,5,13,72,79,68,66,80,93,66,1,14
Lonoak  Fire Incident Information: ,San Benito,,90,8/11/12 10:48,8/11/12 19:15,36.7730307,-121.3090412,,,,,,,,,,,73,93,54,54,65,94,26,1,37
Lanes Fire Incident Information: ,Fresno,,138,8/11/12 12:30,8/13/12 19:15,36.07359401,-119.9494405,8,,,,,23,321,14,,1,88,108,70,61,46,73,18,1,19
Lambs Fire Incident Information: ,Riverside,,30,8/11/12 14:01,8/12/12 08:00,33.8838439,-116.9967943,,,,,,,,,,,82,99,68,61,50,76,28,1,24
Grade Fire Incident Information: ,Mendocino,,60,8/12/12 13:11,8/12/12 09:30,39.413462,-123.354951,,,,,,,,,,,81,106,55,46,43,77,9,1,21
Wye Fire (includes the Walker Fire) Incident Information: ,Lake,,7934,8/12/12 15:52,8/18/12 07:00,39.008859,-122.6138278,3,5,,,2,10,138,4,1,3,68,88,48,48,60,93,27,1,19
Vallecito Lightning Complex Incident Information: ,San Diego,,6,8/12/12 20:00,8/19/12 06:30,32.7157305,-117.1610966,4,,,,2,66,1070,30,2,18,75,84,72,68,79,94,49,1,13
Ramsey Fire Incident Information: ,Calaveras,,1137,8/11/12 14:45,9/5/12 20:00,38.2993716,-120.2790359,,,,,,,,,,,86,106,66,43,26,46,10,1,14
Buck Fire Incident Information: ,Riverside,,2681,8/14/12 12:56,8/17/12 07:00,33.542709,-117.8029777,6,4,,,5,102,1057,37,,16,81,97,64,59,48,78,27,1,32
Mill Fire Incident Information: ,Tehama,,1641,8/13/12 18:46,8/23/12 18:30,40.5574954,-122.7848264,3,,,,4,15,668,24,3,14,,95,61,,,,,1,0
Jawbone Complex Incident Information: ,Kern,,12018,8/10/12 13:01,8/23/12 09:30,35.07610464,-116.6564762,,,,,,,,,,,97,106,86,45,18,27,10,1,37
Indian Fire Incident Information: ,Mono,,12576,8/8/12 14:06,8/15/12 10:45,37.9396481,-119.1228723,,,,,,,,,,,70,88,52,37,33,61,15,1,32
